track_id,title,artist,genre,release_year,duration, album_cover
113,The Times They Are A-Changin',Bob Dylan,Folk,1964,12.9, https://upload.wikimedia.org/wikipedia/en/f/f1/Bob_Dylan_-_The_Times_They_Are_a-Changin%27.jpg
114,Blowin' in the Wind,Bob Dylan,Folk,1963,11.3, https://image.invaluable.com/housePhotos/universityarchives/85/635785/H19845-L158231158_original.jpeg
115,Fast Car,Tracy Chapman,Folk,1988,19.7, https://upload.wikimedia.org/wikipedia/en/3/30/Fastcar_tchapman.jpg
116,Jolene,Dolly Parton,Country,1973,10.9, https://upload.wikimedia.org/wikipedia/en/a/ab/Jolene_%28Dolly_Parton_album_-_cover_art%29.jpg
117,"Take Me Home, Country Roads",John Denver,Country,1971,12.7, https://t2.genius.com/unsafe/516x516/https%3A%2F%2Fimages.genius.com%2Fdacba39a30a776ef9a9f01f338648ca9.500x500x1.jpg
118,"Ring of Fire",Johnny Cash,Country,1963,10.5, https://t2.genius.com/unsafe/516x516/https%3A%2F%2Fimages.genius.com%2F52aaf7d96fc7cb1e4d63bd0c35c1f4ed.500x499x1.jpg
119,Smells Like Teen Spirit,Nirvana,Rock,1991,20.1, https://i.scdn.co/image/ab67616d0000b273e175a19e530c8980e19e6e5b
120,Master of Puppets,Metallica,Metal,1986,34.5, https://upload.wikimedia.org/wikipedia/en/b/b9/Metallica_-_Master_of_Puppets_cover.jpg
121,One,Metallica,Metal,1988,29.8, https://upload.wikimedia.org/wikipedia/en/2/2a/Metallica_-_One_cover.jpg
122,Back to Black,Amy Winehouse,R&B,2006,16.0, https://i.scdn.co/image/ab67616d0000b2734b6583b0a1505e40779faec6
123,Hotline Bling,Drake,Hip-Hop,2015,17.8, https://upload.wikimedia.org/wikipedia/en/6/6f/Drake_-_Hotline_Bling.png
124,Rapper's Delight,Sugarhill Gang,Hip-Hop,1979,28.1, https://upload.wikimedia.org/wikipedia/en/8/82/Rapper%27s_Delight.jpg
125,California Love,2Pac ft. Dr. Dre,Hip-Hop,1995,19.1, https://upload.wikimedia.org/wikipedia/en/9/9f/California_Love.jpg
126,In Da Club,50 Cent,Hip-Hop,2003,13.5, https://upload.wikimedia.org/wikipedia/en/5/5e/In_da_Club.jpg
